State,Median selected monthly owner costs (dollars)
Alabama,772
    ,
Alaska,"1,363"
    ,
Arizona,"1,119"
    ,
Arkansas,657
    ,
California,"1,790"
    ,
Colorado,"1,327"
    ,
Connecticut,"1,704"
    ,
Delaware,"1,242"
    ,
District of Columbia,"1,869"
    ,
Florida,"1,087"
    ,
Georgia,"1,106"
    ,
Hawaii,"1,618"
    ,
Idaho,923
    ,
Illinois,"1,254"
    ,
Indiana,867
    ,
Iowa,819
    ,
Kansas,882
    ,
Kentucky,741
    ,
Louisiana,705
    ,
Maine,949
    ,
Maryland,"1,672"
    ,
Massachusetts,"1,650"
    ,
Michigan,969
    ,
Minnesota,"1,180"
    ,
Mississippi,650
    ,
Missouri,876
    ,
Montana,794
    ,
Nebraska,893
    ,
Nevada,"1,366"
    ,
New Hampshire,"1,492"
    ,
New Jersey,"1,907"
    ,
New Mexico,794
    ,
New York,"1,362"
    ,
North Carolina,951
    ,
North Dakota,684
    ,
Ohio,963
    ,
Oklahoma,747
    ,
Oregon,"1,228"
    ,
Pennsylvania,968
    ,
Rhode Island,"1,555"
    ,
South Carolina,838
    ,
South Dakota,777
    ,
Tennessee,836
    ,
Texas,"1,016"
    ,
Utah,"1,208"
    ,
Vermont,"1,155"
    ,
Virginia,"1,326"
    ,
Washington,"1,394"
    ,
West Virginia,491
    ,
Wisconsin,"1,090"
    ,
Wyoming,858
    ,
Puerto Rico,260
    ,
