,State,Median selected monthly owner costs (dollars),Year
0,AL,772,2010
1,AK,"1,363",2010
2,AZ,"1,119",2010
3,AR,657,2010
4,CA,"1,790",2010
5,CO,"1,327",2010
6,CT,"1,704",2010
7,DE,"1,242",2010
8,DC,"1,869",2010
9,FL,"1,087",2010
10,GA,"1,106",2010
11,HI,"1,618",2010
12,ID,923,2010
13,IL,"1,254",2010
14,IN,867,2010
15,IA,819,2010
16,KS,882,2010
17,KY,741,2010
18,LA,705,2010
19,ME,949,2010
20,MD,"1,672",2010
21,MA,"1,650",2010
22,MI,969,2010
23,MN,"1,180",2010
24,MS,650,2010
25,MO,876,2010
26,MT,794,2010
27,NE,893,2010
28,NV,"1,366",2010
29,NH,"1,492",2010
30,NJ,"1,907",2010
31,NM,794,2010
32,NY,"1,362",2010
33,NC,951,2010
34,ND,684,2010
35,OH,963,2010
36,OK,747,2010
37,OR,"1,228",2010
38,PA,968,2010
39,RI,"1,555",2010
40,SC,838,2010
41,SD,777,2010
42,TN,836,2010
43,TX,"1,016",2010
44,UT,"1,208",2010
45,VT,"1,155",2010
46,VA,"1,326",2010
47,WA,"1,394",2010
48,WV,491,2010
49,WI,"1,090",2010
50,WY,858,2010
51,PR,260,2010
52,AL,858,2023
53,AK,"1,421",2023
54,AZ,"1,218",2023
55,AR,812,2023
56,CA,"2,137",2023
57,CO,"1,769",2023
58,CT,"1,846",2023
59,DE,"1,328",2023
60,DC,"2,561",2023
61,FL,"1,327",2023
62,GA,"1,245",2023
63,HI,"1,869",2023
64,ID,"1,171",2023
65,IL,"1,366",2023
66,IN,"1,012",2023
67,IA,"1,063",2023
68,KS,"1,113",2023
69,KY,906,2023
70,LA,938,2023
71,ME,"1,157",2023
72,MD,"1,787",2023
73,MA,"2,056",2023
74,MI,"1,058",2023
75,MN,"1,424",2023
76,MS,756,2023
77,MO,"1,036",2023
78,MT,"1,141",2023
79,NE,"1,222",2023
80,NV,"1,407",2023
81,NH,"1,746",2023
82,NJ,"2,061",2023
83,NM,916,2023
84,NY,"1,621",2023
85,NC,"1,085",2023
86,ND,"1,053",2023
87,OH,"1,068",2023
88,OK,970,2023
89,OR,"1,553",2023
90,PA,"1,161",2023
91,RI,"1,708",2023
92,SC,972,2023
93,SD,"1,081",2023
94,TN,979,2023
95,TX,"1,373",2023
96,UT,"1,555",2023
97,VT,"1,406",2023
98,VA,"1,474",2023
99,WA,"1,777",2023
100,WV,621,2023
101,WI,"1,183",2023
102,WY,"1,060",2023
103,PR,310,2023
