Year,State,Weekly Median Rent
2004,AL,128.65
2024,AL,257.77
2004,AK,197.93
2024,AK,368.24
2004,AZ,166.86
2024,AZ,409.67
2004,AR,126.12
2024,AR,237.97
2004,CA,217.95
2024,CA,501.04
2004,CO,177.22
2024,CO,444.19
2004,CT,197.93
2024,CT,379.75
2004,DE,174.91
2024,DE,377.45
2004,DC,184.12
2024,DC,446.49
2004,FL,186.42
2024,FL,440.28
2004,GA,161.8
2024,GA,363.64
2004,HI,214.04
2024,HI,485.39
2004,ID,142.69
2024,ID,338.32
2004,IL,170.31
2024,IL,324.74
2004,IN,146.61
2024,IN,269.28
2004,IA,134.18
2024,IA,249.02
2004,KS,142.69
2024,KS,264.67
2004,KY,124.97
2024,KY,242.58
2004,LA,131.19
2024,LA,253.16
2004,ME,147.3
2024,ME,299.19
2004,MD,200.23
2024,MD,423.48
2004,MA,207.13
2024,MA,460.3
2004,MI,155.12
2024,MI,287.69
2004,MN,168.01
2024,MN,324.51
2004,MS,128.88
2024,MS,235.9
2004,MO,142.69
2024,MO,262.83
2004,MT,126.58
2024,MT,287.69
2004,NE,137.63
2024,NE,271.58
2004,NV,191.02
2024,NV,418.41
2004,NH,202.53
2024,NH,391.25
2004,NJ,214.04
2024,NJ,437.28
2004,NM,131.19
2024,NM,261.68
2004,NY,195.63
2024,NY,402.76
2004,NC,145.45
2024,NC,322.9
2004,ND,115.07
2024,ND,264.67
2004,OH,144.99
2024,OH,264.67
2004,OK,131.19
2024,OK,255.47
2004,OR,168.01
2024,OR,382.51
2004,PA,149.6
2024,PA,308.86
2004,RI,181.82
2024,RI,359.03
2004,SC,149.6
2024,SC,310.7
2004,SD,126.35
2024,SD,248.1
2004,TN,138.55
2024,TN,308.86
2004,TX,154.2
2024,TX,356.73
2004,UT,165.71
2024,UT,392.17
2004,VT,172.15
2024,VT,315.3
2004,VA,186.42
2024,VA,403.68
2004,WA,177.22
2024,WA,444.19
2004,WV,116.23
2024,WV,218.64
2004,WI,149.6
2024,WI,278.48
2004,WY,138.09
2024,WY,260.07
