STATEFIP,YEAR,Median_RENTGRS
1,2003,531
1,2023,1020
2,2003,810
2,2023,1470
4,2003,682
4,2023,1700
5,2003,550
5,2023,993
6,2003,920
6,2023,2077
8,2003,802
8,2023,1894
9,2003,820
9,2023,1560
10,2003,760
10,2023,1370
11,2003,710
11,2023,1958
12,2003,760
12,2023,1800
13,2003,720
13,2023,1454
15,2003,900
15,2023,2150
16,2003,605
16,2023,1360
17,2003,740
17,2023,1338
18,2003,613
18,2023,1113
19,2003,565
19,2023,1013
20,2003,590
20,2023,1110
21,2003,521
21,2023,1000
22,2003,550
22,2023,1080
23,2003,630
23,2023,1270
24,2003,870
24,2023,1730
25,2003,870
25,2023,1878
26,2003,643
26,2023,1180
27,2003,712
27,2023,1380
28,2003,548
28,2023,940
29,2003,600
29,2023,1100
30,2003,540
30,2023,1250
31,2003,585
31,2023,1160
32,2003,804
32,2023,1720
33,2003,830
33,2023,1680
34,2003,900
34,2023,1760
35,2003,540
35,2023,1158
36,2003,810
36,2023,1690
37,2003,630
37,2023,1282
38,2003,480
38,2023,990
39,2003,620
39,2023,1083
40,2003,558
40,2023,1100
41,2003,690
41,2023,1562
42,2003,643
42,2023,1288
44,2003,730
44,2023,1460
45,2003,610
45,2023,1200
46,2003,551
46,2023,950
47,2003,580
47,2023,1260
48,2003,655
48,2023,1480
49,2003,672
49,2023,1635
50,2003,680
50,2023,1340
51,2003,790
51,2023,1660
53,2003,800
53,2023,1820
54,2003,480
54,2023,920
55,2003,644
55,2023,1135
56,2003,540
56,2023,1070
