State,% Change in Real Average WBA,% Change in Real Maximum WBA,Change in Recipiency Rate
AK,-5.798090040927701,-13.517051165182428,-30.996843134091
AL,-16.811766257749643,-21.992454542875777,-13.476209030056003
AR,-17.31569673910268,-22.127255460588792,-23.620725442506
AZ,-4.314922184925233,-9.515057260002822,-7.454438073122002
CA,-15.713292184647484,-36.376875114875084,-2.1434533667749998
CO,16.78718812705866,3.409603984910932,-0.5431208844410007
CT,8.961943035333904,3.7201139338838245,-4.7283890969780025
DC,-7.127187971299301,-14.40468846391117,1.0947496627100013
DE,-11.401453571770107,-18.7681643410293,-21.935161911487
FL,-30.557519574724385,-40.42977211680097,-25.1780862218011
GA,-15.780958917540936,-27.52328190464844,-9.228977477987998
HI,14.65119137504171,10.652376384892335,-8.608349806211995
IA,34.40663526110053,21.997233052446234,-11.755243553945999
ID,14.80252488710361,4.195329554418213,-27.290586855009003
IL,17.189624650434872,14.390432098765437,-9.392726070265
IN,-26.660401002506262,-29.525289578778075,-17.082390173911
KS,15.286021108057552,5.525297405761795,-15.436731391863
KY,14.199861486561963,8.532445488967223,-22.4732414342249
LA,-25.01717802407911,-36.5042715308243,-16.328127624712
MA,26.241274740260913,25.493530948186848,-12.304697411580994
MD,-8.272460364063424,-17.371252882398153,-6.480127070648001
ME,26.3509251471825,21.103244214308365,-8.682553515117997
MI,-24.24753190464724,-37.11456614262138,-18.063187576695
MN,13.129261277930858,-24.484614069016327,21.131616129460994
MO,-11.347732573990498,-19.506980254056096,-17.169855340829997
MS,-23.900488671701467,-33.33900660936657,-9.982119224577
MT,29.9239050212506,25.26695500798621,0.06211831578199489
NC,-24.331441978500802,-49.88114671936306,-20.207602593902
ND,56.909605280883746,50.76389728705608,0.6909763866569996
NE,31.476355584044764,22.62498315590891,-16.819890477389997
NH,-9.73255338099709,-29.16155147815123,-11.532483598782001
NJ,10.72905169026996,7.559384367364415,-9.241798673807
NM,17.599167156051468,15.335412169185261,-3.5114954025540017
NV,10.375449640287766,6.974362725377607,-15.741177892450997
NY,-9.176921916420609,-23.200000000000003,0.48744237628199905
OH,17.47786503926767,9.222592138309679,-11.647088479011
OK,12.70320855614973,12.4252664413829,-12.385739420213001
OR,30.338789493719087,14.80439423715874,-5.201031918536003
PA,-3.6928233030597726,-19.008286590181932,-14.648426944804
PR,23.55260193737328,11.363741821725215,-5.994842964010003
RI,-12.41368815506649,-1.340647653166901,-6.337335318558002
SC,-14.331453829371258,-30.144853004199877,-12.808036042791999
SD,36.43044933078394,30.33445748915992,-0.3798266688589985
TN,-21.833469710222637,-29.598821592582965,-14.211574629368002
TX,11.324081189819621,4.792866093968505,-0.5693847284009984
UT,19.741329386783338,14.705701457654218,0.5870725176659986
VA,-15.345181134654823,-28.74243595302279,-8.761580201685002
VT,27.383892392164384,21.194409585532302,-19.833360078433
WA,33.16849952025979,19.09074972243324,-5.8873681180799995
WI,-14.660691421254807,-29.277290364508662,-22.115265692338994
WV,15.729806329711856,10.155249014093878,-9.402905555054
WY,18.084699584149888,12.71501098734561,-12.912807503872997
